Depth (m),Facies Code,Lithology
2016.6,UNKNOWN,Blank Space
2016.7,UNKNOWN,Blank Space
2016.8,UNKNOWN,Blank Space
2016.9,UNKNOWN,Blank Space
2017.0,UNKNOWN,Blank Space
2017.1,UNKNOWN,Blank Space
2017.2,UNKNOWN,Blank Space
2017.3,UNKNOWN,Blank Space
2017.4,UNKNOWN,Blank Space
2017.5,UNKNOWN,Blank Space
2017.6,UNKNOWN,Blank Space
2017.7,UNKNOWN,Blank Space
2017.8,UNKNOWN,Blank Space
2017.9,UNKNOWN,Blank Space
2018.0,UNKNOWN,Blank Space
2018.1,UNKNOWN,Blank Space
2018.2,UNKNOWN,Blank Space
2018.3,UNKNOWN,Blank Space
2018.4,UNKNOWN,Blank Space
2018.5,UNKNOWN,Blank Space
2018.6,UNKNOWN,Blank Space
2018.7,UNKNOWN,Blank Space
2018.8,UNKNOWN,Blank Space
2018.9,UNKNOWN,Blank Space
2019.0,UNKNOWN,Blank Space
2019.1,UNKNOWN,Blank Space
2019.2,UNKNOWN,Blank Space
2019.3,UNKNOWN,Blank Space
2019.4,UNKNOWN,Blank Space
2019.5,UNKNOWN,Blank Space
2019.6,UNKNOWN,Blank Space
2019.7,UNKNOWN,Blank Space
2019.8,UNKNOWN,Blank Space
2019.9,UNKNOWN,Blank Space
2020.0,UNKNOWN,Blank Space
2020.1,UNKNOWN,Blank Space
2020.2,UNKNOWN,Blank Space
2020.3,UNKNOWN,Blank Space
2020.4,UNKNOWN,Blank Space
2020.5,UNKNOWN,Blank Space
2020.6,UNKNOWN,Blank Space
2020.7,UNKNOWN,Blank Space
2020.8,UNKNOWN,Blank Space
2020.9,UNKNOWN,Blank Space
2021.0,UNKNOWN,Blank Space
2021.1,UNKNOWN,Blank Space
2021.2,UNKNOWN,Blank Space
2021.3,UNKNOWN,Blank Space
2021.4,UNKNOWN,Blank Space
2021.5,UNKNOWN,Blank Space
2021.6,UNKNOWN,Blank Space
2021.7,UNKNOWN,Blank Space
2021.8,UNKNOWN,Blank Space
2021.9,UNKNOWN,Blank Space
2022.0,UNKNOWN,Blank Space
2022.1,UNKNOWN,Blank Space
2022.2,UNKNOWN,Blank Space
2022.3,UNKNOWN,Blank Space
2022.4,UNKNOWN,Blank Space
2022.5,UNKNOWN,Blank Space
2022.6,UNKNOWN,Blank Space
2022.7,UNKNOWN,Blank Space
2022.8,UNKNOWN,Blank Space
2022.9,UNKNOWN,Blank Space
2023.0,UNKNOWN,Blank Space
2023.1,UNKNOWN,Blank Space
2023.2,UNKNOWN,Blank Space
2023.3,UNKNOWN,Blank Space
2023.4,UNKNOWN,Blank Space
2023.5,UNKNOWN,Blank Space
2023.6,UNKNOWN,Blank Space
2023.7,UNKNOWN,Blank Space
2023.8,UNKNOWN,Blank Space
2023.9,UNKNOWN,Blank Space
2024.0,UNKNOWN,Blank Space
2024.1,UNKNOWN,Blank Space
2024.2,UNKNOWN,Blank Space
2024.3,UNKNOWN,Blank Space
2024.4,UNKNOWN,Blank Space
2024.5,UNKNOWN,Blank Space
2024.6,UNKNOWN,Blank Space
2024.7,UNKNOWN,Blank Space
2024.8,UNKNOWN,Blank Space
2024.9,UNKNOWN,Blank Space
2025.0,UNKNOWN,Blank Space
2025.1,2,Bituminous F-M Siltstone
2025.2,2,Bituminous F-M Siltstone
2025.3,2,Bituminous F-M Siltstone
2025.4,2,Bituminous F-M Siltstone
2025.5,2,Bituminous F-M Siltstone
2025.6,2,Bituminous F-M Siltstone
2025.7,2,Bituminous F-M Siltstone
2025.8,2,Bituminous F-M Siltstone
2025.9,2,Bituminous F-M Siltstone
2026.0,2,Bituminous F-M Siltstone
2026.1,2,Bituminous F-M Siltstone
