Depth (m),Facies Code,Lithology
2166.9,UNKNOWN,Blank Space
2167.0,UNKNOWN,Blank Space
2167.1,UNKNOWN,Blank Space
2167.2,UNKNOWN,Blank Space
2167.3,UNKNOWN,Blank Space
2167.4,UNKNOWN,Blank Space
2167.5,UNKNOWN,Blank Space
2167.6,UNKNOWN,Blank Space
2167.7,UNKNOWN,Blank Space
2167.8,UNKNOWN,Blank Space
2167.9,UNKNOWN,Blank Space
2168.0,UNKNOWN,Blank Space
2168.1,UNKNOWN,Blank Space
2168.2,UNKNOWN,Blank Space
2168.3,UNKNOWN,Blank Space
2168.4,UNKNOWN,Blank Space
2168.5,UNKNOWN,Blank Space
2168.6,UNKNOWN,Blank Space
2168.7,UNKNOWN,Blank Space
2168.8,UNKNOWN,Blank Space
2168.9,UNKNOWN,Blank Space
2169.0,UNKNOWN,Blank Space
2169.1,UNKNOWN,Blank Space
2169.2,UNKNOWN,Blank Space
2169.3,UNKNOWN,Blank Space
2169.4,UNKNOWN,Blank Space
2169.5,UNKNOWN,Blank Space
2169.6,UNKNOWN,Blank Space
2169.7,UNKNOWN,Blank Space
2169.8,UNKNOWN,Blank Space
2169.9,UNKNOWN,Blank Space
2170.0,UNKNOWN,Blank Space
2170.1,UNKNOWN,Blank Space
2170.2,UNKNOWN,Blank Space
2170.3,UNKNOWN,Blank Space
2170.4,UNKNOWN,Blank Space
2170.5,UNKNOWN,Blank Space
2170.6,UNKNOWN,Blank Space
2170.7,UNKNOWN,Blank Space
2170.8,UNKNOWN,Blank Space
2170.9,UNKNOWN,Blank Space
2171.0,UNKNOWN,Blank Space
2171.1,UNKNOWN,Blank Space
2171.2,UNKNOWN,Blank Space
2171.3,UNKNOWN,Blank Space
2171.4,UNKNOWN,Blank Space
2171.5,UNKNOWN,Blank Space
2171.6,UNKNOWN,Blank Space
2171.7,UNKNOWN,Blank Space
2171.8,UNKNOWN,Blank Space
2171.9,UNKNOWN,Blank Space
2172.0,UNKNOWN,Blank Space
2172.1,UNKNOWN,Blank Space
2172.2,UNKNOWN,Blank Space
2172.3,UNKNOWN,Blank Space
2172.4,UNKNOWN,Blank Space
2172.5,UNKNOWN,Blank Space
2172.6,UNKNOWN,Blank Space
2172.7,UNKNOWN,Blank Space
2172.8,UNKNOWN,Blank Space
2172.9,UNKNOWN,Blank Space
2173.0,UNKNOWN,Blank Space
2173.1,UNKNOWN,Blank Space
2173.2,UNKNOWN,Blank Space
2173.3,UNKNOWN,Blank Space
2173.4,UNKNOWN,Blank Space
2173.5,UNKNOWN,Blank Space
2173.6,UNKNOWN,Blank Space
2173.7,UNKNOWN,Blank Space
2173.8,UNKNOWN,Blank Space
2173.9,UNKNOWN,Blank Space
2174.0,UNKNOWN,Blank Space
2174.1,UNKNOWN,Blank Space
2174.2,UNKNOWN,Blank Space
2174.3,UNKNOWN,Blank Space
2174.4,UNKNOWN,Blank Space
2174.5,UNKNOWN,Blank Space
2174.6,UNKNOWN,Blank Space
2174.7,UNKNOWN,Blank Space
2174.8,UNKNOWN,Blank Space
2174.9,UNKNOWN,Blank Space
2175.0,UNKNOWN,Blank Space
2175.1,UNKNOWN,Blank Space
2175.2,UNKNOWN,Blank Space
2175.3,2,Bituminous F-M Siltstone
2175.4,2,Bituminous F-M Siltstone
2175.5,2,Bituminous F-M Siltstone
2175.6,2,Bituminous F-M Siltstone
2175.7,2,Bituminous F-M Siltstone
2175.8,2,Bituminous F-M Siltstone
2175.9,2,Bituminous F-M Siltstone
2176.0,2,Bituminous F-M Siltstone
2176.1,2,Bituminous F-M Siltstone
2176.2,0,Sandy F-C Siltstone to Silty VF Sandstone
2176.3,0,Sandy F-C Siltstone to Silty VF Sandstone
