From (m),To (m),Color Code,Lithofacies,Contact to next Surface
1929.995,1929.995,white,,smooth
1930.005,1930.005,black,,smooth
1930.016,1933.117,white,,smooth
1933.128,1933.402,khaki,Sandy F-C Siltstone to Silty VF Sandstone,rough
1933.412,1933.623,tan,Bituminous F-M Siltstone,smooth
1933.634,1933.972,skyblue,Laminated Bedded Resedimented Bioclasts,rough
1933.982,1934.583,tan,Bituminous F-M Siltstone,smooth
1934.594,1935.206,khaki,Sandy F-C Siltstone to Silty VF Sandstone,smooth
1935.216,1935.691,skyblue,Laminated Bedded Resedimented Bioclasts,smooth
1935.701,1935.976,khaki,Sandy F-C Siltstone to Silty VF Sandstone,smooth
1935.986,1936.081,sandybrown,Bituminous F-C Siltstone,smooth
1936.092,1937.695,khaki,Sandy F-C Siltstone to Silty VF Sandstone,smooth
1937.706,1938.085,tan,Bituminous F-M Siltstone,smooth
1938.096,1939.003,khaki,Sandy F-C Siltstone to Silty VF Sandstone,rough
1939.014,1939.404,sandybrown,Bituminous F-C Siltstone,rough
1939.415,1939.541,tan,Bituminous F-M Siltstone,smooth
1939.552,1939.836,sandybrown,Bituminous F-C Siltstone,smooth
1939.847,1940.026,tan,Bituminous F-M Siltstone,smooth
1940.037,1940.301,sandybrown,Bituminous F-C Siltstone,smooth
1940.311,1940.459,tan,Bituminous F-M Siltstone,smooth
1940.469,1940.701,sandybrown,Bituminous F-C Siltstone,smooth
1940.712,1941.176,tan,Bituminous F-M Siltstone,smooth
1941.187,1941.313,sandybrown,Bituminous F-C Siltstone,smooth
1941.324,1941.545,tan,Bituminous F-M Siltstone,smooth
1941.556,1941.735,sandybrown,Bituminous F-C Siltstone,smooth
1941.746,1942.094,tan,Bituminous F-M Siltstone,smooth
1942.104,1942.273,sandybrown,Bituminous F-C Siltstone,smooth
1942.284,1942.579,tan,Bituminous F-M Siltstone,smooth
1942.590,1942.769,sandybrown,Bituminous F-C Siltstone,smooth
1942.780,1942.980,tan,Bituminous F-M Siltstone,smooth
1942.991,1943.117,darkseagreen,Phosphatic - Bituminous Sandy Siltstone to Breccia,smooth
1943.128,1943.381,sandybrown,Bituminous F-C Siltstone,smooth
1943.391,1943.729,tan,Bituminous F-M Siltstone,smooth
1943.739,1943.866,sandybrown,Bituminous F-C Siltstone,smooth
1943.877,1944.130,tan,Bituminous F-M Siltstone,smooth
1944.140,1944.256,sandybrown,Bituminous F-C Siltstone,smooth
1944.267,1944.552,tan,Bituminous F-M Siltstone,smooth
1944.562,1944.794,sandybrown,Bituminous F-C Siltstone,smooth
1944.805,1944.953,khaki,Sandy F-C Siltstone to Silty VF Sandstone,smooth
