From (m),To (m),Color Code,Interface,Contact to next Surface
1929.995,1930.016,silver,,smooth
1930.026,1933.107,white,,rough
1933.117,1933.128,gray,,rough
1933.138,1933.391,white,,smooth
1933.402,1933.412,silver,,smooth
1933.423,1933.602,white,,smooth
1933.613,1933.623,dimgray,,smooth
1933.634,1933.645,gray,,smooth
1933.655,1933.929,white,,smooth
1933.940,1933.961,gray,,smooth
1933.972,1934.594,white,,rough
1934.604,1934.615,silver,,rough
1934.626,1935.206,white,,smooth
1935.216,1935.227,gray,,smooth
1935.237,1935.701,white,,rough
1935.712,1935.723,gray,,rough
1935.733,1937.695,white,,rough
1937.706,1937.716,gray,,rough
1937.727,1938.085,white,,rough
1938.096,1938.107,gray,,rough
1938.117,1940.670,white,,smooth
1940.680,1940.691,dimgray,,rough
1940.701,1940.712,gray,,rough
1940.723,1943.085,white,,smooth
1943.096,1943.117,silver,,rough
1943.128,1943.370,white,,rough
1943.381,1943.391,gray,,rough
1943.402,1944.499,white,,smooth
1944.509,1944.594,deepskyblue,Marine Flooding Surface,smooth
1944.604,1945.258,white,,smooth
1945.269,1945.290,gray,,rough
1945.301,1949.003,white,,smooth
1949.014,1949.035,gray,,rough
1949.045,1949.720,white,,smooth
1949.731,1949.742,gray,,rough
1949.752,1949.763,dimgray,,rough
1949.773,1952.252,white,,rough
1952.263,1952.273,silver,,rough
1952.284,1954.140,white,,smooth
1954.151,1954.161,gray,,rough
1954.172,1954.182,dimgray,,rough
1954.193,1955.216,white,,smooth
1955.227,1955.237,dimgray,,rough
1955.248,1955.258,gray,,rough
1955.269,1956.229,white,,rough
1956.239,1956.250,gray,,rough
1956.261,1956.904,white,,smooth
1956.915,1956.999,deepskyblue,Marine Flooding Surface,smooth
1957.009,1958.307,white,,smooth
1958.318,1958.339,silver,,rough
1958.349,1959.541,white,,smooth
1959.552,1959.562,dimgray,,rough
1959.573,1959.583,gray,,rough
1959.594,1960.343,white,,smooth
1960.353,1960.364,dimgray,,rough
1960.374,1960.385,gray,,rough
1960.396,1961.007,white,,rough
1961.018,1961.028,silver,,rough
1961.039,1962.379,white,,smooth
1962.389,1962.400,gray,,rough
1962.410,1962.421,dimgray,,rough
1962.431,1963.993,white,,smooth
1964.003,1964.024,gray,,rough
1964.035,1964.509,white,,rough
1964.520,1964.531,gray,,rough
1964.541,1964.942,white,,rough
1964.953,1964.963,gray,,rough
1964.974,1966.566,white,,rough
1966.577,1966.588,silver,,rough
1966.598,1967.632,white,,rough
1967.642,1967.653,silver,,rough
1967.664,1968.064,white,,rough
1968.075,1968.085,silver,,rough
1968.096,1969.488,white,,smooth
1969.499,1969.520,gray,,rough
1969.531,1969.963,white,,smooth
1969.974,1970.058,deepskyblue,Marine Flooding Surface,smooth
1970.069,1970.332,white,,smooth
1970.343,1970.353,gray,,rough
1970.364,1970.374,dimgray,,rough
1970.385,1970.955,white,,smooth
1970.965,1970.997,dimgray,,rough
1971.007,1972.168,white,,smooth
1972.178,1972.189,gray,,smooth
1972.199,1972.600,white,,smooth
