tan,Bituminous F-M Siltstone
darkkhaki,Bituminous F-M Siltstone
rosybrown,Bituminous F-M Siltstone
goldenrod,Bituminous F-C Siltstone
sandybrown,Bituminous F-C Siltstone
khaki,Sandy F-C Siltstone to Silty VF Sandstone
darkseagreen,Phosphatic - Bituminous Sandy Siltstone to Breccia
mediumvioletred,Calcareous - Calcispheric Dolosiltstone
plum,Calcareous - Calcispheric Dolosiltstone
skyblue,Laminated Bedded Resedimented Bioclasts
cornflowerblue,Laminated Bedded Resedimented Bioclasts
white,Blank Space
black,Hz Line
darkslategray,Hz Line
rosybrown,Bituminous F-M Siltstone
coral,Bituminous F-C Siltstone
yellow,Sandy F-C Siltstone to Silty VF Sandstone
slategrey,Calcareous - Calcispheric Dolosiltstone
yellowgreen,Phosphatic - Bituminous Sandy Siltstone to Breccia
x,x
cornflowerblue,Laminated Bedded Resedimented Bioclasts
yellow,Sandy F-C Siltstone to Silty VF Sandstone
darkgray,Calcareous - Calcispheric Dolosiltstone
mediumaquamarine,Phosphatic - Bituminous Sandy Siltstone to Breccia
